STATEFIP,YEAR,QUARTER,industry,emp_weighted,total_emp,emp_share
25,2021,1,Retail trade,1342273.5562,10235168.0351,0.13114328476062834
25,2021,1,Transportation and warehousing,266840.1714,10235168.0351,0.02607091261080531
25,2021,1,Utilities,101091.4458,10235168.0351,0.009876872119082149
25,2021,1,Wholesale trade,164384.6237,10235168.0351,0.016060764526411992
25,2021,2,Construction,709546.156,10181473.538999999,0.06968992781664587
25,2021,2,Education and health services,2543358.1089,10181473.538999999,0.24980255551003502
25,2021,2,Financial activities,883893.1906,10181473.538999999,0.0868138769122425
25,2021,2,Government,549374.8545,10181473.538999999,0.05395828534991786
25,2021,2,Information,65271.0481,10181473.538999999,0.0064107663640218795
25,2021,2,Leisure and hospitality,225315.3785,10181473.538999999,0.022129938032734893
